"id","subject","stem","A","B","C","D","E","correct","explanation"
"1","ovarian_masses","A 14-year-old postmenarchal girl presents with 12 hours of right lower quadrant pain.     She is afebrile, WBC 8.5, pregnancy test negative. Pelvic ultrasound shows a 5.2-cm     enlarged right ovary with heterogeneous echotexture; arterial and venous flow are equivocal.     What is the next best step in management?","Observe with analgesia and repeat ultrasound in 24–48 hours","Immediate laparoscopic exploration with detorsion if torsion found","CT abdomen/pelvis to better evaluate the appendix","Start combined oral contraceptives to suppress functional cysts","Schedule elective oophorectomy within 1–2 weeks","B","Correct answer: B — Immediate laparoscopic exploration with detorsion if torsion found.
Acute pelvic pain in an adolescent with an enlarged, echogenic ovary and equivocal Doppler flow warrants timely diagnostic laparoscopy because ultrasound cannot reliably exclude torsion. Ovarian torsion is a clinical diagnosis; normal Doppler flow does not rule it out due to dual ovarian blood supply and intermittent torsion-detorsion. The operative priorities are: inspect both adnexa, assess for torsion, hemorrhage, rupture, or mass; perform peritoneal washings if a tumor is suspected; and evaluate upper abdomen/omentum for implants. If torsion is present, detorse and preserve the ovary, regardless of gross appearance, because the organ often recovers. If no discrete mass is identified and malignancy is unlikely, avoid blind oophorectomy; opt for conservative management and postoperative imaging follow-up.

Why the others are incorrect: Observation (A) risks ischemic loss of an ovary if torsion is present. CT for appendicitis (C) is unnecessary given a normal appendix on ultrasound and does not address the gynecologic emergency. Oral contraceptives (D) have no role in acute pain and do not prevent torsion; evidence that they reduce functional cyst formation in this setting is lacking. Elective oophorectomy (E) is inappropriate—malignancy is uncommon in children and ovarian-sparing principles apply unless clear malignant features mandate otherwise.

Practical pearls: obtain baseline tumor markers (AFP, hCG, CA‑125 ± CA 19‑9 if mucinous tumor suspected) preoperatively if a mass is possible, but do not delay urgent laparoscopy for results. During laparoscopy, aspirate free fluid for cytology and document the status of peritoneal surfaces, diaphragm, liver, and omentum if tumor is encountered."
"2","ovarian_masses","A 13-year-old girl has a 7-cm complex right ovarian mass discovered on ultrasound during     evaluation of intermittent pelvic pain. She is hemodynamically stable and scheduled for surgery today.     Which set of laboratory tests is most appropriate to obtain before the operation if possible?","CBC, CMP only","AFP, hCG, CA-125 (± CA 19-9 if mucinous tumor suspected)","LDH and ESR","Estradiol and progesterone levels","No labs are indicated because malignancy is rare in children","B","Correct answer: B — AFP, hCG, CA‑125 (± CA 19‑9 if mucinous tumor suspected).
Preoperative tumor markers guide intraoperative decision-making and postoperative surveillance. AFP suggests yolk sac tumor components; hCG suggests choriocarcinoma elements; CA‑125 may be elevated with epithelial malignancy and occasionally with germ cell tumors; CA 19‑9 can be associated with mucinous epithelial tumors. Elevations in AFP or hCG should make the surgeon avoid ovarian-sparing resection and minimize spill due to higher likelihood of malignancy. While immediate turnaround is ideal, baseline levels should be drawn even if results will return postoperatively.

Other options: CBC/CMP alone (A) misses disease-defining information. LDH/ESR (C) lack specificity here. Sex steroid levels (D) are not helpful for the differential of an adnexal mass. Skipping labs (E) is inappropriate; although pediatric ovarian malignancy is uncommon (~10%), marker data meaningfully alter operative strategy and follow-up.

Takeaway: obtain markers preoperatively when operating on a suspected ovarian mass; do not delay urgent torsion management solely for markers."
"3","ovarian_masses","During laparoscopy for an ovarian mass in a 12-year-old, which intraoperative steps constitute     appropriate staging for a suspected germ cell tumor?","Peritoneal washings; inspection of liver, diaphragm, and omentum; biopsy of suspicious lesions","Bilateral pelvic and para-aortic lymphadenectomy regardless of gross findings","Omentectomy and systematic pelvic nodal sampling in all cases","Frozen section of contralateral ovary","Peritoneal washings only","A","Correct answer: A — Peritoneal washings; inspection of liver, diaphragm, and omentum; biopsy of suspicious lesions; inspect contralateral ovary.
Children’s Oncology Group (COG) staging for ovarian germ cell tumors emphasizes peritoneal washings and thorough inspection of peritoneal surfaces and upper abdomen, with biopsy of any suspicious lesions and assessment of iliac nodes for enlargement. Routine lymphadenectomy or omentectomy is not mandated for all pediatric germ cell tumors; staging should be tailored to findings. The contralateral ovary should be inspected but not biopsied unless visibly abnormal.

Why others are wrong: Routine pelvic/para-aortic lymphadenectomy (B) and mandatory omentectomy with nodal sampling (C) reflect adult epithelial cancer practice (FIGO), not standard pediatric germ cell staging. Frozen section of a normal contralateral ovary (D) risks fertility without benefit. Washings alone (E) are incomplete.

Operative nuance: If malignant elements are suspected, minimize spill and use a retrieval bag. When ovarian preservation is safe (e.g., benign teratoma with negative markers), carefully enucleate the mass, preserving normal parenchyma."
"4","ovarian_masses","A 14-year-old has a persistently enlarged right ovary on ultrasound 4 weeks after laparoscopy that     showed no discrete tumor. Pain persists despite NSAIDs. What is the best next diagnostic study?","Contrast-enhanced CT of the abdomen and pelvis","MRI pelvis with and without fat-suppressed sequences","Nuclear medicine bone scan","Repeat ultrasound immediately","No further imaging; proceed to oophorectomy","B","Correct answer: B — MRI pelvis with and without fat-suppressed sequences.
MRI provides superior soft-tissue characterization for adnexal lesions, delineates fat and fluid components, and helps distinguish functional cysts from neoplasms. Fat-suppressed sequences identify macroscopic fat of teratomas. MRI also clarifies borders between tumor and normal ovarian tissue, informing feasibility of ovarian-sparing enucleation.

CT (A) exposes to ionizing radiation without better tissue characterization. Immediate repeat ultrasound (D) adds little after multiple equivocal studies. Bone scan (C) is irrelevant. Proceeding directly to oophorectomy (E) contradicts pediatric principles of ovarian preservation in the absence of clear malignancy.

Clinical pearl: MRI confirmation of a small fatty mass consistent with mature teratoma supports planned Pfannenstiel minilaparotomy for controlled, no‑spillage enucleation with ovarian preservation."
"5","ovarian_masses","A 15-year-old with MRI-proven 3.6-cm right ovarian dermoid (mature cystic teratoma), normal AFP and hCG.     What is the preferred operative strategy?","Laparoscopic salpingo-oophorectomy to avoid rupture","Pfannenstiel minilaparotomy with ovarian-sparing tumor enucleation","Open midline laparotomy with total hysterectomy","Expectant management only","Cyst aspiration and cauterization of the cavity","B","Correct answer: B — Pfannenstiel minilaparotomy with ovarian-sparing tumor enucleation.
For benign dermoids in adolescents, ovarian preservation is the standard when feasible. A small Pfannenstiel incision allows tactile assessment and deliberate capsulotomy to enucleate the mass from normal parenchyma while minimizing spill. Even when performed laparoscopically, careful technique and an endoscopic retrieval bag are essential; many surgeons favor minilaparotomy for optimal control.

Salpingo-oophorectomy (A) sacrifices fertility and is unnecessary in benign disease. Midline laparotomy with hysterectomy (C) is inappropriate. Pure observation (D) risks growth, torsion, or rupture. Aspiration (E) leads to spillage and recurrence; it is contraindicated.

Technical tip: Enucleate “like a hard‑boiled egg yolk,” preserving an adequate ovarian remnant for future function."
"6","ovarian_masses","A resected 4-cm ovarian teratoma from a 12-year-old is sent to pathology. Which sampling approach is most appropriate?","One representative section of the cyst wall is sufficient","Sample ≥1 section per centimeter of maximal diameter to evaluate for immature/malignant elements","Only sample areas with calcifications or hair","No histology is required for small dermoids","Frozen section only; permanent sections add little value","B","Correct answer: B — Sample at least one section per centimeter of maximal diameter.
Teratomas display heterogeneous histology. Generous sampling is required to detect immature neuroepithelium or malignant components such as yolk sac tumor; the latter may be focal. The final report should designate benign vs malignant and note any immature elements. In pediatric patients, even high-grade immaturity does not necessarily mandate chemotherapy if stage I; surgery alone is often curative.

Limited sampling (A, C) risks missing critical elements. Skipping histology (D) is unsafe. Frozen section alone (E) can be misleading; definitive diagnosis relies on permanent sections with adequate sampling.

Clinical impact: Discovery of malignant elements upstages disease and alters adjuvant therapy and surveillance."
"7","ovarian_masses","A 16-year-old underwent ovarian-sparing resection of a mature cystic teratoma with negative markers.     What is the most appropriate follow-up plan?","Annual pelvic ultrasound until adulthood; educate about 10–20% contralateral metachronous risk","No follow-up is needed after complete resection","Quarterly AFP and hCG levels for 5 years","Routine chemotherapy due to recurrence risk","Immediate oophorectomy of the contralateral ovary","A","Correct answer: A — Annual pelvic ultrasound until adulthood with counseling on contralateral risk.
Mature teratoma recurrence in the ipsilateral ovary is uncommon after complete enucleation, but metachronous contralateral teratomas occur in roughly 10–20% at 10 years. Periodic ultrasound (e.g., at 6 months and then yearly) is a reasonable approach. Tumor markers are not useful if they were normal preoperatively.

No follow-up (B) misses metachronous disease. Marker surveillance (C) is not informative. Chemotherapy (D) has no role in benign disease. Prophylactic contralateral oophorectomy (E) is contraindicated and harmful.

Counseling point: Educate patients about symptoms of torsion and the importance of routine surveillance."
"8","ovarian_masses","A 15-year-old with recurrent functional ovarian cysts asks about combined oral contraceptives to prevent new cysts.     What is the evidence-based recommendation?","OCPs clearly reduce formation of functional cysts and should be prescribed","OCPs have not been shown to reduce cyst incidence and are not indicated solely for this purpose","OCPs increase the risk of ovarian torsion","OCPs are contraindicated after dermoid cystectomy","OCPs should be started preoperatively to reduce tumor rupture risk","B","Correct answer: B — OCPs have not demonstrated reduction in functional cyst incidence when used solely for that purpose.
While OCPs are frequently prescribed to “stabilize” hormonal cycling, evidence does not support their use specifically to prevent functional cysts in adolescents. They may still be used for contraception or cycle regulation, but not as cyst prophylaxis. There is no evidence that OCPs reduce torsion risk or alter perioperative outcomes in ovarian mass surgery.

Options A, C, D, and E are unsupported or incorrect.

Practical counseling: Consider alternative strategies—expectant observation with interval ultrasound and reassurance—unless cysts are symptomatic or complicated."
"9","ovarian_masses","A 15-year-old has a large ovarian mass with intraoperative rupture and glial implants on the peritoneum.     Tumor markers are normal. Final pathology shows immature teratoma, no malignant germ cell elements.     Which statement is most accurate?","Peritoneal glial implants represent metastasis and upstage the tumor","Glial implants (gliomatosis peritonei) arise from metaplasia of submesothelial cells and do not upstage","Adjuvant chemotherapy is mandatory for all immature teratomas","Spillage invariably worsens outcome in children","Contralateral oophorectomy is recommended","B","Correct answer: B — Glial implants (gliomatosis peritonei) are benign metaplastic implants that do not upstage.
Intraoperative rupture of dermoids can scatter sebaceous material and neural tissue; glial nodules discovered later represent metaplasia rather than true metastasis. In pediatric series, immaturity grade has limited prognostic impact compared with adult counterparts, and surgery alone is adequate for stage I disease even with high-grade immaturity. Routine chemotherapy is not indicated unless malignant components (e.g., yolk sac tumor) or advanced stage are present. Evidence that spillage worsens outcome in children is limited, though minimizing spill remains good practice.

Therefore, adjuvant chemotherapy (C) and contralateral oophorectomy (E) are unnecessary. Spillage (D) should be avoided but is not clearly associated with worse pediatric outcomes."
"10","ovarian_masses","A 13-year-old with a large ovarian mass has ultrasound features suggestive of teratoma. AFP is 145 ng/mL (elevated),     hCG normal. CT shows no extra-ovarian disease. What is the most appropriate operative approach?","Ovarian-sparing enucleation via minilaparotomy","Salpingo-oophorectomy with careful avoidance of spill","Percutaneous aspiration to decompress before surgery","Two-stage approach: biopsy now, definitive resection after chemotherapy","Pure laparoscopic cyst unroofing","B","Correct answer: B — Salpingo-oophorectomy with careful avoidance of spill.
Elevated AFP implies yolk sac tumor components within a teratoma (malignant teratoma). Ovarian-sparing surgery risks leaving malignant tissue behind and spilling tumor, potentially upstaging the patient. The appropriate approach is salpingo‑oophorectomy with staging, using a retrieval bag and minimizing rupture; obtain washings and inspect peritoneal surfaces. Postoperatively, AFP kinetics guide surveillance or adjuvant therapy.

Enucleation (A) and cyst unroofing (E) are inappropriate in suspected malignancy. Aspiration (C) is contraindicated. Routine initial biopsy with delay (D) is unnecessary and risks seeding.

Key point: In adolescents, AFP or hCG elevation shifts strategy from preservation toward oncologic control."
